Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/axi_pwm_custom_xcr_pwm_led_0,i_system_wrapper/system_i/axi_pwm_custom_xcr_pwm_led_1,i_system_wrapper/system_i/axi_pwm_custom_xcr_pwm_led_2,i_system_wrapper/system_i/axi_pwm_custom_xcr_pwm_led_3,i_system_wrapper/system_i/axi_pwm_custom_xcr_pwm_led_4,i_system_wrapper/system_i/axi_pwm_custom_xcr_pwm_led_5
749,237,0,0,0,0,0,0,0
750,238,0,0,0,0,0,0,0
751,239,0,0,0,0,0,0,0
752,240,0,0,0,0,0,0,0
753,241,0,0,0,0,0,0,0
754,242,0,0,0,0,0,0,0
755,243,0,0,0,0,0,0,0
756,244,0,0,0,0,0,0,0
757,245,0,0,0,0,0,0,0
758,246,0,0,0,0,0,0,0
759,247,0,0,0,0,0,0,0
760,248,0,0,0,0,0,0,0
761,249,0,0,0,0,0,0,0
762,250,0,0,0,0,0,0,0
763,251,0,0,0,0,0,0,0
764,252,0,0,0,0,0,0,0
765,253,0,0,0,0,0,0,0
766,254,0,0,0,0,0,0,0
767,255,0,0,0,0,0,0,0
768,0,1,1,1,1,1,1,1
769,1,0,1,1,1,1,1,1
770,2,0,1,1,1,1,1,1
771,3,0,1,1,1,1,1,1
772,4,0,1,1,1,1,1,1
773,5,0,1,1,1,1,1,1
774,6,0,1,1,1,1,1,1
775,7,0,1,1,1,1,1,1
776,8,0,1,1,1,1,1,1
777,9,0,1,1,1,1,1,1
778,10,0,1,1,1,1,1,1
779,11,0,1,1,1,1,1,1
780,12,0,1,1,1,1,1,1
781,13,0,1,1,1,1,1,1
782,14,0,1,1,1,1,1,1
783,15,0,1,1,1,1,1,1
784,16,0,1,1,1,1,1,1
785,17,0,1,1,1,1,1,1
786,18,0,1,1,1,1,1,1
787,19,0,1,1,1,1,1,1
788,20,0,1,1,1,1,1,1
789,21,0,1,1,1,1,1,1
790,22,0,1,1,1,1,1,1
791,23,0,1,1,0,1,1,1
792,24,0,1,1,0,1,1,1
793,25,0,1,1,0,1,1,1
794,26,0,1,1,0,1,1,1
795,27,0,1,1,0,1,1,1
796,28,0,1,1,0,1,1,1
797,29,0,1,1,0,1,1,1
798,30,0,1,1,0,1,1,1
799,31,0,1,1,0,1,1,0
800,32,0,1,1,0,1,1,0
801,33,0,1,1,0,1,1,0
802,34,0,1,1,0,1,1,0
803,35,0,1,1,0,1,1,0
804,36,0,1,1,0,1,1,0
805,37,0,1,1,0,1,1,0
806,38,0,1,1,0,1,1,0
807,39,0,1,1,0,1,1,0
808,40,0,1,1,0,1,1,0
809,41,0,1,1,0,1,1,0
810,42,0,1,1,0,1,1,0
811,43,0,1,1,0,1,1,0
812,44,0,1,1,0,1,1,0
813,45,0,1,1,0,1,1,0
814,46,0,1,1,0,1,1,0
815,47,0,1,1,0,1,1,0
816,48,0,1,1,0,1,1,0
817,49,0,1,1,0,1,1,0
818,50,0,1,1,0,1,1,0
819,51,0,1,1,0,1,1,0
820,52,0,1,1,0,1,1,0
821,53,0,1,1,0,1,1,0
822,54,0,1,1,0,1,1,0
823,55,0,1,1,0,1,1,0
824,56,0,1,1,0,1,1,0
825,57,0,1,1,0,1,1,0
826,58,0,1,1,0,1,1,0
827,59,0,1,1,0,1,1,0
828,60,0,1,1,0,1,1,0
829,61,0,1,1,0,1,1,0
830,62,0,1,1,0,1,1,0
831,63,0,1,1,0,1,1,0
832,64,0,1,1,0,1,1,0
833,65,0,1,1,0,1,1,0
834,66,0,1,1,0,1,1,0
835,67,0,1,1,0,1,1,0
836,68,0,1,1,0,1,1,0
837,69,0,1,1,0,1,1,0
838,70,0,1,1,0,1,1,0
839,71,0,1,1,0,1,1,0
840,72,0,1,1,0,1,1,0
841,73,0,1,1,0,1,1,0
842,74,0,1,1,0,1,1,0
843,75,0,1,1,0,1,1,0
844,76,0,1,1,0,1,1,0
845,77,0,1,1,0,1,1,0
846,78,0,1,1,0,1,1,0
847,79,0,1,1,0,1,1,0
848,80,0,1,1,0,1,1,0
849,81,0,1,1,0,1,1,0
850,82,0,1,1,0,1,1,0
851,83,0,1,1,0,1,1,0
852,84,0,1,1,0,1,1,0
853,85,0,1,1,0,1,1,0
854,86,0,1,1,0,1,1,0
855,87,0,1,1,0,1,1,0
856,88,0,1,1,0,1,1,0
857,89,0,1,1,0,1,1,0
858,90,0,1,1,0,1,1,0
859,91,0,1,1,0,1,1,0
860,92,0,1,1,0,1,1,0
861,93,0,1,1,0,1,1,0
862,94,0,1,1,0,1,1,0
863,95,0,1,1,0,1,1,0
864,96,0,1,1,0,1,1,0
865,97,0,1,1,0,1,1,0
866,98,0,1,1,0,1,1,0
867,99,0,1,1,0,1,1,0
868,100,0,1,1,0,1,1,0
869,101,0,1,1,0,1,1,0
870,102,0,1,1,0,1,1,0
871,103,0,1,1,0,1,1,0
872,104,0,1,1,0,1,1,0
873,105,0,1,1,0,1,1,0
874,106,0,1,1,0,1,1,0
875,107,0,1,1,0,1,1,0
876,108,0,1,1,0,1,1,0
877,109,0,1,1,0,1,1,0
878,110,0,1,1,0,1,1,0
879,111,0,1,1,0,1,1,0
880,112,0,1,1,0,1,1,0
881,113,0,1,1,0,1,1,0
882,114,0,1,1,0,1,1,0
883,115,0,1,0,0,1,1,0
884,116,0,1,0,0,1,1,0
885,117,0,1,0,0,1,1,0
886,118,0,1,0,0,1,1,0
887,119,0,1,0,0,1,1,0
888,120,0,1,0,0,1,1,0
889,121,0,1,0,0,1,1,0
890,122,0,1,0,0,1,1,0
891,123,0,1,0,0,1,1,0
892,124,0,1,0,0,1,1,0
893,125,0,1,0,0,1,1,0
894,126,0,1,0,0,1,1,0
895,127,0,1,0,0,1,1,0
896,128,0,0,0,0,1,1,0
897,129,0,0,0,0,1,1,0
898,130,0,0,0,0,1,1,0
899,131,0,0,0,0,1,1,0
900,132,0,0,0,0,1,1,0
901,133,0,0,0,0,1,1,0
902,134,0,0,0,0,1,1,0
903,135,0,0,0,0,1,1,0
904,136,0,0,0,0,1,1,0
905,137,0,0,0,0,1,1,0
906,138,0,0,0,0,1,1,0
907,139,0,0,0,0,1,1,0
908,140,0,0,0,0,1,1,0
909,141,0,0,0,0,1,1,0
910,142,0,0,0,0,1,1,0
911,143,0,0,0,0,1,1,0
912,144,0,0,0,0,1,1,0
913,145,0,0,0,0,1,1,0
914,146,0,0,0,0,1,1,0
915,147,0,0,0,0,1,1,0
916,148,0,0,0,0,1,1,0
917,149,0,0,0,0,1,1,0
918,150,0,0,0,0,1,1,0
919,151,0,0,0,0,1,1,0
920,152,0,0,0,0,1,1,0
921,153,0,0,0,0,1,1,0
922,154,0,0,0,0,1,1,0
923,155,0,0,0,0,1,1,0
924,156,0,0,0,0,1,1,0
925,157,0,0,0,0,1,1,0
926,158,0,0,0,0,1,1,0
927,159,0,0,0,0,1,1,0
928,160,0,0,0,0,1,1,0
929,161,0,0,0,0,1,1,0
930,162,0,0,0,0,1,1,0
931,163,0,0,0,0,1,1,0
932,164,0,0,0,0,1,1,0
933,165,0,0,0,0,1,1,0
934,166,0,0,0,0,1,1,0
935,167,0,0,0,0,1,1,0
936,168,0,0,0,0,1,1,0
937,169,0,0,0,0,1,1,0
938,170,0,0,0,0,1,1,0
939,171,0,0,0,0,1,1,0
940,172,0,0,0,0,0,1,0
941,173,0,0,0,0,0,1,0
942,174,0,0,0,0,0,1,0
943,175,0,0,0,0,0,1,0
944,176,0,0,0,0,0,1,0
945,177,0,0,0,0,0,1,0
946,178,0,0,0,0,0,1,0
947,179,0,0,0,0,0,1,0
948,180,0,0,0,0,0,1,0
949,181,0,0,0,0,0,1,0
950,182,0,0,0,0,0,1,0
951,183,0,0,0,0,0,1,0
952,184,0,0,0,0,0,1,0
953,185,0,0,0,0,0,1,0
954,186,0,0,0,0,0,1,0
955,187,0,0,0,0,0,0,0
956,188,0,0,0,0,0,0,0
957,189,0,0,0,0,0,0,0
958,190,0,0,0,0,0,0,0
959,191,0,0,0,0,0,0,0
960,192,0,0,0,0,0,0,0
961,193,0,0,0,0,0,0,0
962,194,0,0,0,0,0,0,0
963,195,0,0,0,0,0,0,0
964,196,0,0,0,0,0,0,0
965,197,0,0,0,0,0,0,0
966,198,0,0,0,0,0,0,0
967,199,0,0,0,0,0,0,0
968,200,0,0,0,0,0,0,0
969,201,0,0,0,0,0,0,0
970,202,0,0,0,0,0,0,0
971,203,0,0,0,0,0,0,0
972,204,0,0,0,0,0,0,0
973,205,0,0,0,0,0,0,0
974,206,0,0,0,0,0,0,0
975,207,0,0,0,0,0,0,0
976,208,0,0,0,0,0,0,0
977,209,0,0,0,0,0,0,0
978,210,0,0,0,0,0,0,0
979,211,0,0,0,0,0,0,0
980,212,0,0,0,0,0,0,0
981,213,0,0,0,0,0,0,0
982,214,0,0,0,0,0,0,0
983,215,0,0,0,0,0,0,0
984,216,0,0,0,0,0,0,0
985,217,0,0,0,0,0,0,0
986,218,0,0,0,0,0,0,0
987,219,0,0,0,0,0,0,0
988,220,0,0,0,0,0,0,0
989,221,0,0,0,0,0,0,0
990,222,0,0,0,0,0,0,0
991,223,0,0,0,0,0,0,0
992,224,0,0,0,0,0,0,0
993,225,0,0,0,0,0,0,0
994,226,0,0,0,0,0,0,0
995,227,0,0,0,0,0,0,0
996,228,0,0,0,0,0,0,0
997,229,0,0,0,0,0,0,0
998,230,0,0,0,0,0,0,0
999,231,0,0,0,0,0,0,0
1000,232,0,0,0,0,0,0,0
1001,233,0,0,0,0,0,0,0
1002,234,0,0,0,0,0,0,0
1003,235,0,0,0,0,0,0,0
1004,236,0,0,0,0,0,0,0
1005,237,0,0,0,0,0,0,0
1006,238,0,0,0,0,0,0,0
1007,239,0,0,0,0,0,0,0
1008,240,0,0,0,0,0,0,0
1009,241,0,0,0,0,0,0,0
1010,242,0,0,0,0,0,0,0
1011,243,0,0,0,0,0,0,0
1012,244,0,0,0,0,0,0,0
1013,245,0,0,0,0,0,0,0
1014,246,0,0,0,0,0,0,0
1015,247,0,0,0,0,0,0,0
1016,248,0,0,0,0,0,0,0
1017,249,0,0,0,0,0,0,0
1018,250,0,0,0,0,0,0,0
1019,251,0,0,0,0,0,0,0
1020,252,0,0,0,0,0,0,0
1021,253,0,0,0,0,0,0,0
1022,254,0,0,0,0,0,0,0
1023,255,0,0,0,0,0,0,0
